"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4066","test","","2026-05-13","passed","2026-05-13","","Practice1.spec.js","",""
"","3506","Client App login with custom fixture","","2026-05-13","failed","2026-05-13","","customFixture.spec.js","",""
